date,gold,gold_predict
2016/12/15,1126.95,1166.01 
2016/12/16,1131.6,1164.84 
2016/12/19,1136.25,1163.02 
2016/12/20,1125.7,1160.19 
2016/12/21,1133.65,1156.49 
2016/12/22,1131.35,1152.09 
2016/12/28,1134.6,1147.43 
2016/12/29,1145.9,1142.93 
2017/1/3,1151,1139.00 
2017/1/4,1164.25,1136.14 
2017/1/5,1176.7,1134.71 
2017/1/6,1175.85,1135.06 
2017/1/9,1178.5,1137.47 
2017/1/10,1189.5,1141.79 
2017/1/11,1178.55,1147.59 
2017/1/12,1205.05,1154.43 
2017/1/13,1190.35,1161.58 
2017/1/16,1203,1168.82 
2017/1/17,1216.05,1175.74 
2017/1/18,1214.75,1182.11 
2017/1/19,1196.05,1188.09 
2017/1/20,1200.55,1193.71 
2017/1/23,1212.85,1198.53 
2017/1/24,1216.8,1202.18 
2017/1/25,1195,1204.77 
2017/1/26,1189.7,1206.64 
2017/1/27,1184.85,1207.63 
2017/1/30,1192.8,1207.50 
2017/1/31,1212.8,1206.06 
2017/2/1,1203.65,1203.58 
2017/2/2,1221.95,1200.90 
2017/2/3,1215.2,1198.61 
2017/2/6,1226.75,1197.37 
2017/2/7,1231,1197.39 
2017/2/8,1242.1,1198.79 
2017/2/9,1236.8,1201.52 
2017/2/10,1228.3,1205.53 
2017/2/13,1222.25,1210.45 
2017/2/14,1230.75,1215.57 
2017/2/15,1224.4,1220.10 
2017/2/16,1240.55,1223.65 
2017/2/17,1241.95,1226.03 
2017/2/20,1237.3,1227.56 
2017/2/21,1233.2,1228.68 
2017/2/22,1236.65,1229.61 
2017/2/23,1247.9,1230.35 
2017/2/24,1253.65,1230.89 
2017/2/27,1257.2,1231.51 
2017/2/28,1255.6,1232.53 
2017/3/1,1240.4,1234.18 
2017/3/2,1238.1,1236.45 
2017/3/3,1226.5,1238.78 
2017/3/6,1230.95,1240.61 
2017/3/7,1216.65,1241.35 
2017/3/8,1209.2,1240.82 
2017/3/9,1206.55,1238.90 
2017/3/10,1202.65,1235.54 
2017/3/13,1204.2,1230.95 
2017/3/14,1204.6,1225.46 
2017/3/15,1198.8,1219.55 
2017/3/16,1229.35,1213.75 
2017/3/17,1229.6,1208.41 
2017/3/20,1232.4,1204.36 
2017/3/21,1241.6,1202.23 
2017/3/22,1249.05,1202.25 
2017/3/23,1247.5,1204.42 
2017/3/24,1247.5,1208.54 
2017/3/27,1257.55,1214.10 
2017/3/28,1257.25,1220.43 
2017/3/29,1251.1,1227.02 
2017/3/30,1248.8,1233.46 
2017/3/31,1244.85,1239.24 
2017/4/3,1247.25,1243.90 
2017/4/4,1257.65,1247.14 
2017/4/5,1245.8,1248.93 
2017/4/6,1252.5,1249.68 
2017/4/7,1266.45,1249.61 
2017/4/10,1250.05,1249.02 
2017/4/11,1252.9,1248.51 
2017/4/12,1274.3,1248.16 
2017/4/13,1284.15,1247.94 
2017/4/18,1278.95,1248.25 
2017/4/19,1279.05,1249.61 
2017/4/20,1282.1,1252.11 
2017/4/21,1281.85,1255.50 
2017/4/24,1269.4,1259.43 
2017/4/25,1267.8,1263.49 
2017/4/26,1261.85,1267.06 
2017/4/27,1262.8,1269.60 
2017/4/28,1266.45,1270.77 
2017/5/2,1255.45,1270.55 
2017/5/3,1250.3,1269.26 
2017/5/4,1228.45,1267.10 
2017/5/5,1228.05,1264.20 
2017/5/8,1229.8,1260.28 
2017/5/9,1220.4,1255.30 
2017/5/10,1222.95,1249.53 
2017/5/11,1223.15,1243.26 
2017/5/12,1231.25,1236.91 
2017/5/15,1233.3,1230.91 
2017/5/16,1234.2,1225.83 
2017/5/17,1257.4,1222.07 
2017/5/18,1255.9,1219.83 
2017/5/19,1252,1219.52 
2017/5/22,1258.85,1221.24 
2017/5/23,1260.2,1224.63 
2017/5/24,1252.55,1229.20 
2017/5/25,1256.95,1234.42 
2017/5/26,1265.05,1239.60 
2017/5/30,1262.7,1244.25 
2017/5/31,1266.2,1248.25 
2017/6/1,1264.85,1251.56 
2017/6/2,1274.95,1254.25 
2017/6/5,1279.95,1256.39 
2017/6/6,1293.5,1258.22 
2017/6/7,1291,1260.08 
2017/6/8,1273.1,1262.42 
2017/6/9,1266.55,1265.40 
2017/6/12,1266.4,1268.50 
2017/6/13,1262,1270.99 
2017/6/14,1275.5,1272.36 
2017/6/15,1254.55,1272.39 
2017/6/16,1255.4,1271.46 
2017/6/19,1248.15,1269.61 
2017/6/20,1242.2,1266.98 
2017/6/21,1242.5,1263.63 
2017/6/22,1250.8,1259.65 
2017/6/23,1255.7,1255.24 
2017/6/26,1245.25,1250.89 
2017/6/27,1249.55,1247.16 
2017/6/28,1248,1244.23 
2017/6/29,1243.5,1242.15 
2017/6/30,1242.25,1240.85 
2017/7/3,1229.25,1240.11 
2017/7/4,1223.75,1239.67 
2017/7/5,1220.3,1239.05 
2017/7/6,1224.9,1237.84 
2017/7/7,1215.65,1235.80 
2017/7/10,1211.9,1233.09 
2017/7/11,1211.05,1229.83 
2017/7/12,1218.8,1226.16 
2017/7/13,1218.9,1222.27 
2017/7/14,1230.3,1218.55 
2017/7/17,1234.1,1215.37 
2017/7/18,1240.75,1213.20 
2017/7/19,1242.15,1212.39 
2017/7/20,1238.7,1213.10 
2017/7/21,1248.55,1215.26 
2017/7/24,1255.55,1218.46 
2017/7/25,1254.4,1222.39 
2017/7/26,1248.1,1226.86 
2017/7/27,1261.1,1231.60 
2017/7/28,1264.9,1236.14 
2017/7/31,1267.55,1240.36 
2017/8/1,1270.95,1244.28 
2017/8/2,1269.6,1247.97 
2017/8/3,1268.1,1251.48 
2017/8/4,1257.7,1254.77 
2017/8/7,1258,1257.69 
2017/8/8,1261.8,1259.87 
2017/8/9,1271.05,1261.06 
2017/8/10,1284.4,1261.33 
2017/8/11,1286.1,1261.08 
2017/8/14,1282.3,1261.00 
2017/8/15,1270.3,1261.64 
2017/8/16,1272.75,1263.09 
2017/8/17,1285.15,1264.91 
2017/8/18,1295.8,1266.65 
2017/8/21,1292.9,1268.29 
2017/8/22,1284.2,1270.13 
2017/8/23,1286.65,1272.32 
2017/8/24,1289,1274.63 
2017/8/25,1285.3,1276.78 
2017/8/29,1318.65,1278.65 
2017/8/30,1308.5,1280.09 
2017/8/31,1311.75,1281.77 
2017/9/1,1320.4,1284.04 
2017/9/4,1333.1,1286.95 
2017/9/5,1335.55,1290.54 
2017/9/6,1337.85,1294.95 
2017/9/7,1343.5,1300.16 
2017/9/8,1346.25,1305.93 
2017/9/11,1334.2,1312.03 
2017/9/12,1326.5,1318.16 
2017/9/13,1327.55,1323.70 
2017/9/14,1324.55,1327.97 
2017/9/15,1322.85,1330.59 
2017/9/18,1312.1,1331.50 
2017/9/19,1309.6,1330.88 
2017/9/20,1311.3,1328.84 
2017/9/21,1292.1,1325.61 
2017/9/22,1294.8,1321.61 
2017/9/25,1293.3,1316.88 
2017/9/26,1300.05,1311.62 
2017/9/27,1282.55,1306.16 
2017/9/28,1283.35,1300.99 
2017/9/29,1283.1,1296.20 
2017/10/2,1273.7,1291.79 
2017/10/3,1271.25,1287.81 
2017/10/4,1274.25,1284.12 
2017/10/5,1274.5,1280.61 
2017/10/6,1261.8,1277.33 
2017/10/9,1278.75,1274.39 
2017/10/10,1291.4,1271.65 
2017/10/11,1289.25,1269.36 
2017/10/12,1290.25,1268.04 
2017/10/13,1299.6,1267.97 
2017/10/16,1303.3,1269.13 
2017/10/17,1284.75,1271.48 
2017/10/18,1280.2,1274.86 
2017/10/19,1286.4,1278.56 
2017/10/20,1281.2,1281.73 
2017/10/23,1274.9,1283.98 
2017/10/24,1276.45,1285.10 
2017/10/25,1275,1285.00 
2017/10/26,1273.75,1283.80 
2017/10/27,1266.45,1281.78 
2017/10/30,1272,1279.23 
2017/10/31,1270.15,1276.33 
2017/11/1,1277.05,1273.33 
2017/11/2,1279.2,1270.50 
2017/11/3,1267.2,1268.17 
2017/11/6,1270.9,1266.60 
2017/11/7,1275.6,1265.63 
2017/11/8,1284,1265.09 
2017/11/9,1284.8,1264.92 
2017/11/10,1284.3,1265.28 
2017/11/13,1277.95,1266.27 
2017/11/14,1274.6,1267.81 
2017/11/15,1282.2,1269.60 
2017/11/16,1280,1271.23 
2017/11/17,1284.35,1272.57 
2017/11/20,1286.2,1273.58 
2017/11/21,1283.3,1274.36 
2017/11/22,1286.95,1275.06 
2017/11/23,1290.35,1275.71 
2017/11/24,1290.5,1276.38 
2017/11/27,1294.9,1277.16 
2017/11/28,1291.85,1278.11 
2017/11/29,1283.85,1279.29 
2017/11/30,1280.2,1280.63 
2017/12/1,1275.5,1281.82 
2017/12/4,1273.45,1282.52 
2017/12/5,1266.3,1282.44 
2017/12/6,1263.7,1281.49 
2017/12/7,1255,1279.59 
2017/12/8,1250.65,1276.84 
2017/12/11,1247.15,1273.27 
2017/12/12,1240.9,1269.00 
2017/12/13,1242.65,1264.21 
2017/12/14,1251,1259.05 
2017/12/15,1254.6,1253.82 
2017/12/18,1260.6,1249.02 
2017/12/19,1260.35,1245.17 
2017/12/20,1264.55,1242.69 
2017/12/21,1264.55,1241.72 
2017/12/27,1279.4,1242.21 
2017/12/28,1291,1243.91 
2018/1/2,1312.05,1246.76 
2018/1/3,1314.9,1250.83 
2018/1/4,1314.5,1256.46 
2018/1/5,1317.15,1263.69 
2018/1/8,1319.95,1272.07 
2018/1/9,1311,1280.97 
2018/1/10,1319.75,1289.71 
2018/1/11,1323.05,1297.49 
2018/1/12,1326.8,1303.92 
2018/1/15,1339.25,1308.93 
2018/1/16,1333.85,1312.73 
2018/1/17,1335.65,1315.83 
2018/1/18,1332.2,1318.52 
2018/1/19,1334.95,1320.92 
2018/1/22,1332.6,1322.98 
2018/1/23,1333.4,1324.68 
2018/1/24,1353.7,1325.95 
2018/1/25,1354.95,1326.79 
2018/1/26,1353.15,1327.72 
2018/1/29,1343.85,1329.20 
2018/1/30,1344.9,1331.32 
2018/1/31,1345.05,1333.75 
2018/2/1,1341.35,1336.06 
2018/2/2,1331.15,1337.98 
2018/2/5,1333.6,1339.27 
2018/2/6,1331.4,1339.62 
2018/2/7,1324.65,1338.99 
2018/2/8,1315.45,1337.50 
2018/2/9,1314.1,1335.25 
2018/2/12,1322.3,1332.23 
2018/2/13,1325.35,1328.55 
2018/2/14,1336.25,1324.64 
2018/2/15,1352.45,1321.04 
2018/2/16,1352.1,1318.43 
2018/2/19,1346.6,1317.53 
2018/2/20,1339.85,1318.67 
2018/2/21,1330.5,1321.51 
2018/2/22,1328.35,1325.27 
2018/2/23,1327.95,1328.93 
2018/2/26,1333.5,1331.69 
2018/2/27,1325.75,1333.17 
2018/2/28,1317.85,1333.47 
2018/3/1,1307.75,1332.74 
2018/3/2,1322.3,1331.03 
2018/3/5,1320.4,1328.28 
2018/3/6,1331.4,1324.94 
2018/3/7,1329.4,1321.51 
2018/3/8,1321,1318.65 
2018/3/9,1320.6,1316.77 
2018/3/12,1319.15,1315.77 
2018/3/13,1322.75,1315.39 
2018/3/14,1323.55,1315.33 
2018/3/15,1318.75,1315.42 
2018/3/16,1310.1,1315.63 
2018/3/19,1312.4,1315.82 
2018/3/20,1311,1315.67 
2018/3/21,1321.35,1315.05 
2018/3/22,1329.15,1313.97 
2018/3/23,1346.6,1312.78 
2018/3/26,1352.4,1311.99 
2018/3/27,1341.45,1312.34 
2018/3/28,1332.45,1314.33 
2018/3/29,1323.85,1317.71 
2018/4/3,1333.45,1321.67 
2018/4/4,1337.3,1325.22 
2018/4/5,1327.7,1327.90 
2018/4/6,1331.2,1329.70 
2018/4/9,1331.95,1330.55 
2018/4/10,1338.95,1330.59 
2018/4/11,1350.75,1330.04 
2018/4/12,1341.35,1329.33 
2018/4/13,1343.7,1329.06 
2018/4/16,1349.35,1329.39 
2018/4/17,1342.1,1330.27 
2018/4/18,1351.45,1331.67 
2018/4/19,1348.6,1333.32 
2018/4/20,1336.75,1335.13 
2018/4/23,1324.3,1336.98 
2018/4/24,1328.85,1338.44 
2018/4/25,1321.65,1338.92 
2018/4/26,1320.7,1338.23 
2018/4/27,1321.5,1336.33 
2018/4/30,1313.2,1333.43 
2018/5/1,1307.1,1329.91 
2018/5/2,1304.2,1325.99 
2018/5/3,1315.05,1321.81 
2018/5/4,1309.4,1317.45 
2018/5/8,1306.6,1313.35 
2018/5/9,1313.85,1309.78 
2018/5/10,1318.8,1306.83 
2018/5/11,1324.35,1304.66 
2018/5/14,1319.85,1303.48 
2018/5/15,1295,1303.45 
2018/5/16,1291.25,1304.42 
2018/5/17,1289.5,1305.52 
2018/5/18,1288.3,1305.90 
2018/5/21,1288.35,1305.09 
2018/5/22,1293.05,1303.04 
2018/5/23,1289,1300.01 
2018/5/24,1304.85,1296.51 
2018/5/25,1303.5,1292.98 
2018/5/29,1295.5,1290.10 
2018/5/30,1300.7,1288.29 
2018/5/31,1305.35,1287.50 
2018/6/1,1294.6,1287.59 
2018/6/4,1295.45,1288.45 
2018/6/5,1292.05,1289.65 
2018/6/6,1300.1,1290.83 
2018/6/7,1297.25,1291.65 
2018/6/8,1298.25,1292.13 
2018/6/11,1299.6,1292.33 
2018/6/12,1298.65,1292.36 
2018/6/13,1296.15,1292.33 
2018/6/14,1302.75,1292.30 
2018/6/15,1285.25,1292.24 
2018/6/18,1281.55,1292.26 
2018/6/19,1276.15,1292.05 
2018/6/20,1274.2,1291.29 
2018/6/21,1266.15,1289.70 
2018/6/22,1269.15,1287.24 
2018/6/25,1268.7,1283.93 
2018/6/26,1260.3,1280.02 
2018/6/27,1254.6,1275.87 
2018/6/28,1251.55,1271.68 
2018/6/29,1250.45,1267.48 
2018/7/2,1247.8,1263.31 
2018/7/3,1251.75,1259.24 
2018/7/4,1255.65,1255.34 
2018/7/5,1255.5,1251.82 
2018/7/6,1255.35,1248.95 
2018/7/9,1262.05,1246.92 
2018/7/10,1254,1245.75 
2018/7/11,1251.4,1245.49 
2018/7/12,1245.9,1245.92 
2018/7/13,1241.7,1246.68 
2018/7/16,1241.1,1247.32 
2018/7/17,1232.8,1247.47 
2018/7/18,1224.5,1246.96 
2018/7/19,1217.55,1245.64 
2018/7/20,1228.75,1243.37 
2018/7/23,1224.95,1240.07 
2018/7/24,1228.35,1236.15 
2018/7/25,1231.5,1232.03 
2018/7/26,1228.25,1228.20 
2018/7/27,1223.95,1225.05 
2018/7/30,1223.8,1222.76 
2018/7/31,1220.95,1221.23 
2018/8/1,1219,1220.28 
2018/8/2,1215.45,1219.65 
2018/8/3,1216.3,1219.13 
2018/8/6,1209.65,1218.49 
2018/8/7,1212.35,1217.67 
2018/8/8,1209.55,1216.54 
2018/8/9,1214.35,1215.14 
2018/8/10,1214.4,1213.52 
2018/8/13,1200.35,1211.91 
2018/8/14,1197,1210.49 
2018/8/15,1182,1209.12 
2018/8/16,1180.4,1207.55 
2018/8/17,1178.4,1205.37 
2018/8/20,1184.35,1202.34 
2018/8/21,1190.95,1198.51 
2018/8/22,1196.65,1194.24 
2018/8/23,1192.35,1190.14 
2018/8/24,1197.7,1186.83 
2018/8/28,1212.25,1184.59 
2018/8/29,1204.2,1183.57 
2018/8/30,1197.3,1183.98 
2018/8/31,1202.45,1185.68 
2018/9/3,1200.05,1188.13 
2018/9/4,1190.85,1190.88 
2018/9/5,1196.7,1193.52 
2018/9/6,1205.15,1195.59 
2018/9/7,1198.9,1196.90 
2018/9/10,1196.6,1197.66 
2018/9/11,1189.85,1198.01 
2018/9/12,1195.6,1198.03 
2018/9/13,1209.8,1197.61 
2018/9/14,1201.95,1196.84 
2018/9/17,1201.9,1196.16 
2018/9/18,1200.2,1195.79 
2018/9/19,1203.3,1195.77 
2018/9/20,1208.35,1196.00 
2018/9/21,1198.7,1196.43 
2018/9/24,1202.75,1197.09 
2018/9/25,1201.9,1197.80 
2018/9/26,1194.25,1198.44 
2018/9/27,1185.4,1198.95 
2018/9/28,1187.25,1199.12 
2018/10/1,1189.35,1198.67 
2018/10/2,1204.7,1197.50 
2018/10/3,1201.2,1195.75 
2018/10/4,1203.45,1193.97 
2018/10/5,1203.8,1192.63 
2018/10/8,1186.95,1191.97 
2018/10/9,1185.55,1192.06 
2018/10/10,1188.6,1192.47 
2018/10/11,1205.55,1192.70 
2018/10/12,1219.75,1192.52 
2018/10/15,1229.95,1192.23 
2018/10/16,1230.7,1192.51 
2018/10/17,1229.05,1194.01 
2018/10/18,1223,1196.97 
2018/10/19,1227.85,1201.20 
2018/10/22,1222.3,1206.07 
2018/10/23,1235.95,1211.00 
2018/10/24,1230.55,1215.42 
2018/10/25,1230.8,1219.22 
2018/10/26,1233.85,1222.33 
2018/10/29,1230.8,1224.72 
2018/10/30,1225.4,1226.50 
2018/10/31,1214.95,1227.70 
2018/11/1,1231.15,1228.26 
2018/11/2,1232.1,1227.97 
2018/11/5,1232.25,1227.07 
2018/11/6,1231.6,1225.97 
2018/11/7,1229.95,1224.98 
2018/11/8,1224.15,1224.30 
2018/11/9,1211.4,1223.94 
2018/11/12,1205.55,1223.72 
2018/11/13,1202.1,1223.19 
2018/11/14,1203.25,1221.94 
2018/11/15,1211.85,1219.75 
2018/11/16,1222.4,1216.72 
2018/11/19,1221.6,1213.33 
2018/11/20,1223,1210.31 
2018/11/21,1226.1,1208.20 
2018/11/22,1227.05,1207.25 
2018/11/23,1223.65,1207.50 
2018/11/26,1223.4,1208.81 
2018/11/27,1221.2,1210.80 
2018/11/28,1213.25,1213.09 
2018/11/29,1226.25,1215.26 
2018/11/30,1217.55,1216.89 
2018/12/3,1230.3,1217.99 
2018/12/4,1240.3,1218.53 
2018/12/5,1235.9,1218.83 
2018/12/6,1242.55,1219.36 
2018/12/7,1243.3,1220.39 
2018/12/10,1245.35,1222.03 
2018/12/11,1245.3,1224.25 
2018/12/12,1245.75,1226.93 
2018/12/13,1242.75,1229.84 
2018/12/14,1235.35,1232.72 
2018/12/17,1241.65,1235.31 
2018/12/18,1246.3,1237.23 
2018/12/19,1255,1238.40 
2018/12/20,1259.75,1238.99 
2018/12/21,1258.15,1239.44 
2018/12/27,1268,1240.18 
2018/12/28,1279,1241.38 
2019/1/2,1282.9,1243.23 
2019/1/3,1290.45,1245.98 
2019/1/4,1279.9,1249.71 
2019/1/7,1292.2,1254.40 
2019/1/8,1286.45,1259.57 
2019/1/9,1288.6,1264.88 
2019/1/10,1291.9,1269.92 
2019/1/11,1288.95,1274.36 
2019/1/14,1292.75,1278.08 
2019/1/15,1294.4,1280.97 
2019/1/16,1292.3,1283.10 
2019/1/17,1290.7,1284.63 
2019/1/18,1284.2,1285.66 
2019/1/21,1279.55,1286.25 
2019/1/22,1282.1,1286.30 
2019/1/23,1279.8,1285.68 
2019/1/24,1283.7,1284.45 
2019/1/25,1293.9,1282.75 
2019/1/28,1302.15,1280.84 
2019/1/29,1307.55,1279.25 
2019/1/30,1310.7,1278.52 
2019/1/31,1323.25,1279.04 
2019/2/1,1318.7,1280.95 
2019/2/4,1312.15,1284.33 
2019/2/5,1314.2,1288.86 
2019/2/6,1312.4,1293.87 
2019/2/7,1310,1298.72 
2019/2/8,1314.85,1302.89 
2019/2/11,1306.4,1306.04 
2019/2/12,1310,1308.14 
2019/2/13,1312.8,1309.17 
2019/2/14,1311.45,1309.27 
2019/2/15,1316.55,1308.75 
2019/2/18,1325.5,1307.91 
2019/2/19,1334.15,1307.07 
2019/2/20,1343.75,1306.70 
2019/2/21,1331.25,1307.23 
2019/2/22,1329.05,1309.07 
2019/2/25,1331.05,1311.94 
2019/2/26,1325.05,1315.28 
2019/2/27,1322.85,1318.56 
2019/2/28,1319.15,1321.29 
2019/3/1,1311.95,1323.11 
2019/3/4,1285.4,1323.84 
2019/3/5,1283.8,1323.33 
2019/3/6,1285.85,1321.10 
2019/3/7,1285.3,1316.96 
2019/3/8,1296.75,1311.26 
2019/3/11,1292.75,1304.65 
2019/3/12,1297.05,1298.08 
2019/3/13,1306.95,1292.31 
2019/3/14,1295.55,1287.84 
2019/3/15,1303.5,1285.14 
2019/3/18,1305.6,1284.06 
2019/3/19,1307.7,1284.37 
2019/3/20,1303.7,1285.80 
2019/3/21,1309.6,1288.06 
2019/3/22,1311.3,1290.71 
2019/3/25,1319.55,1293.47 
2019/3/26,1316.3,1296.20 
2019/3/27,1309.7,1298.95 
2019/3/28,1295.15,1301.66 
2019/3/29,1295.4,1304.06 
2019/4/1,1293.5,1305.58 
2019/4/2,1290.3,1305.87 
2019/4/3,1290.45,1304.86 
2019/4/4,1283.15,1302.70 
2019/4/5,1288.45,1299.70 
2019/4/8,1300,1296.11 
2019/4/9,1303,1292.32 
2019/4/10,1305.45,1288.99 
2019/4/11,1298.8,1286.66 
2019/4/12,1294.3,1285.64 
2019/4/15,1285.65,1285.79 
2019/4/16,1276.35,1286.65 
2019/4/17,1275.85,1287.57 
2019/4/18,1275.7,1287.86 
2019/4/23,1269.5,1287.17 
2019/4/24,1271.65,1285.47 
2019/4/25,1280.8,1282.86 
2019/4/26,1284.2,1279.64 
2019/4/29,1279.5,1276.39 
2019/4/30,1282.3,1273.68 
2019/5/1,1283.8,1271.78 
2019/5/2,1270.95,1270.75 
2019/5/3,1278.55,1270.57 
2019/5/7,1281.2,1270.80 
2019/5/8,1285.2,1271.18 
2019/5/9,1286.1,1271.65 
2019/5/10,1287.1,1272.26 
2019/5/13,1295.6,1273.09 
2019/5/14,1298.4,1274.15 
2019/5/15,1299.1,1275.58 
2019/5/16,1291.7,1277.49 
2019/5/17,1280.8,1279.84 
2019/5/20,1276.85,1282.31 
2019/5/21,1271.15,1284.31 
2019/5/22,1273.8,1285.31 
2019/5/23,1283.65,1285.01 
2019/5/24,1282.5,1283.47 
2019/5/28,1278.3,1281.23 
2019/5/29,1281.65,1278.84 
2019/5/30,1280.95,1276.62 
2019/5/31,1295.55,1274.81 
2019/6/3,1317.1,1273.53 
2019/6/4,1324.25,1273.09 
2019/6/5,1335.05,1274.15 
2019/6/6,1335.5,1277.17 
2019/6/7,1340.65,1282.35 
2019/6/10,1328.6,1289.37 
2019/6/11,1324.3,1297.65 
2019/6/12,1332.35,1306.11 
2019/6/13,1335.9,1313.68 
2019/6/14,1351.25,1319.79 
2019/6/17,1341.3,1324.37 
2019/6/18,1341.35,1327.91 
2019/6/19,1344.05,1330.67 
2019/6/20,1379.5,1332.77 
2019/6/21,1397.15,1334.34 
2019/6/24,1405.7,1336.33 
2019/6/25,1431.4,1339.86 
2019/6/26,1403.95,1345.60 
2019/6/27,1402.5,1354.09 
2019/6/28,1409,1364.37 
2019/7/1,1390.1,1374.98 
2019/7/2,1391.05,1384.78 
2019/7/3,1413.5,1392.53 
2019/7/4,1414.9,1397.60 
2019/7/5,1388.65,1400.50 
2019/7/8,1400.1,1402.06 
2019/7/9,1391.55,1402.32 
2019/7/10,1408.3,1401.57 
2019/7/11,1413.75,1399.98 
2019/7/12,1407.6,1398.19 
2019/7/15,1412.4,1396.90 
2019/7/16,1409.85,1396.36 
2019/7/17,1410.35,1396.69 
2019/7/18,1417.45,1397.72 
2019/7/19,1439.7,1399.21 
2019/7/22,1427.75,1401.09 
2019/7/23,1425.55,1403.82 
2019/7/24,1426.95,1407.32 
2019/7/25,1416.1,1411.19 
2019/7/26,1420.4,1415.02 
2019/7/29,1419.05,1418.16 
2019/7/30,1425.9,1420.34 
2019/7/31,1427.55,1421.48 
2019/8/1,1406.8,1421.88 
2019/8/2,1441.75,1421.92 
2019/8/5,1465.25,1421.38 
2019/8/6,1465.25,1420.94 
2019/8/7,1506.05,1421.85 
2019/8/8,1495.75,1424.76 
2019/8/9,1497.7,1430.72 
2019/8/12,1504.7,1439.60 
2019/8/13,1498.4,1450.51 
2019/8/14,1513.25,1462.36 
2019/8/15,1515.65,1473.84 
2019/8/16,1515.25,1484.27 
2019/8/19,1496.6,1493.33 
2019/8/20,1504.55,1500.81 
2019/8/21,1503.25,1506.14 
2019/8/22,1502.05,1509.26 
2019/8/23,1503.8,1510.45 
2019/8/27,1532.95,1510.13 
2019/8/28,1537.15,1508.84 
2019/8/29,1540.2,1507.89 
2019/8/30,1528.4,1508.31 
2019/9/2,1525.95,1510.55 
2019/9/3,1537.85,1514.13 
2019/9/4,1546.1,1518.25 
2019/9/5,1529.1,1522.51 
2019/9/6,1523.7,1526.85 
2019/9/9,1509.2,1530.74 
2019/9/10,1498.25,1533.56 
2019/9/11,1490.65,1534.64 
2019/9/12,1515.2,1533.51 
2019/9/13,1503.1,1530.08 
2019/9/16,1497.2,1525.42 
2019/9/17,1502.1,1520.39 
2019/9/18,1503.5,1515.48 
2019/9/19,1500.7,1511.15 
2019/9/20,1501.9,1507.75 
2019/9/23,1522.1,1505.37 
2019/9/24,1520.65,1503.95 
2019/9/25,1528.75,1503.90 
2019/9/26,1506.4,1505.32 
2019/9/27,1489.9,1508.21 
2019/9/30,1485.3,1511.66 
2019/10/1,1473.45,1514.31 
2019/10/2,1492.6,1515.20 
2019/10/3,1517.1,1513.77 
2019/10/4,1499.15,1510.61 
2019/10/7,1501.25,1507.27 
2019/10/8,1505.85,1504.48 
2019/10/9,1507.25,1502.58 
2019/10/10,1494.8,1501.74 
2019/10/11,1479.15,1501.92 
2019/10/14,1490.6,1502.59 
2019/10/15,1487.8,1502.82 
2019/10/16,1485.1,1502.36 
2019/10/17,1492.65,1501.20 
2019/10/18,1490,1499.47 
2019/10/21,1491.65,1497.57 
