date,gold,bit
2017-07-19,1242.15,2264.7656
2017-07-20,1238.7,2265.21
2017-07-21,1248.55,2682.1953
2017-07-22,,2807.6099
2017-07-23,,2825.51
2017-07-24,1255.55,2751.821
2017-07-25,1254.4,2560.9978
2017-07-26,1248.1,2564.3
2017-07-27,1261.1,2647.625
2017-07-28,1264.9,2781.6365
2017-07-29,,2784.8
2017-07-30,,2745.9553
2017-07-31,1267.55,2866.4316
2017-08-01,1270.95,2862.8999
2017-08-02,1269.6,2693.634
2017-08-03,1268.1,2794.1177
2017-08-04,1257.7,2790
2017-08-05,,3218.115
2017-08-06,,3252.5625
2017-08-07,1258,3210.2
2017-08-08,1261.8,3457.3743
2017-08-09,1271.05,3357.3264
2017-08-10,1284.4,3340.28
2017-08-11,1286.1,3632.5066
2017-08-12,,3852.803
2017-08-13,,3868.52
2017-08-14,1282.3,4282.9922
2017-08-15,1270.3,4217.0283
2017-08-16,1272.75,4179.9702
2017-08-17,1285.15,4328.7256
2017-08-18,1295.8,4130.4399
2017-08-19,,4104.71
2017-08-20,,4157.958
2017-08-21,1292.9,4043.7219
2017-08-22,1284.2,3986.28
2017-08-23,1286.65,4174.9502
2017-08-24,1289,4340.3169
2017-08-25,1285.3,4331.77
2017-08-26,,4360.5132
2017-08-27,,4354.3081
2017-08-28,,4339.0498
2017-08-29,1318.65,4607.9854
2017-08-30,1308.5,4594.9878
2017-08-31,1311.75,4582.52
2017-09-01,1320.4,4911.7402
2017-09-02,,4580.3877
2017-09-03,,4585.5698
2017-09-04,1333.1,4344.0981
2017-09-05,1335.55,4488.7202
2017-09-06,1337.85,4385.02
2017-09-07,1343.5,4654.6587
2017-09-08,1346.25,4310.75
2017-09-09,,4312.2598
2017-09-10,,4329.9551
2017-09-11,1334.2,4248.0898
2017-09-12,1326.5,4198.5898
2017-09-13,1327.55,3961.2712
2017-09-14,1324.55,3319.6299
2017-09-15,1322.85,3216.4299
2017-09-16,,3763.626
2017-09-17,,3746.0608
2017-09-18,1312.1,3678.53
2017-09-19,1309.6,3943.4133
2017-09-20,1311.3,3977.5618
2017-09-21,1292.1,3894.48
2017-09-22,1294.8,3637.5024
2017-09-23,,3776.387
2017-09-24,,3777.6201
2017-09-25,1293.3,3942.5549
2017-09-26,1300.05,3910.3074
2017-09-27,1282.55,3881
2017-09-28,1283.35,4201.9893
2017-09-29,1283.1,4193.5747
2017-09-30,,4164.27
2017-10-01,,4360.7231
2017-10-02,1273.7,4386.8838
2017-10-03,1271.25,4394.0698
2017-10-04,1274.25,4225.1748
2017-10-05,1274.5,4338.8521
2017-10-06,1261.8,4318.5801
2017-10-07,,4376.1919
2017-10-08,,4602.2808
2017-10-09,1278.75,4605.6602
2017-10-10,1291.4,4782.2798
2017-10-11,1289.25,4819.4858
2017-10-12,1290.25,4822.1699
2017-10-13,1299.6,5563.8066
2017-10-14,,5739.439
2017-10-15,,5825.9902
2017-10-16,1303.3,5711.2061
2017-10-17,1284.75,5603.7129
2017-10-18,1280.2,5594.6602
2017-10-19,1286.4,5727.6333
2017-10-20,1281.2,5979.46
2017-10-21,,5986.4399
2017-10-22,,5983.1846
2017-10-23,1274.9,5876.0801
2017-10-24,1276.45,5900.5898
2017-10-25,1275,5669.6226
2017-10-26,1273.75,5893.1382
2017-10-27,1266.45,5889.8198
2017-10-28,,5776.6968
2017-10-29,,6155.4341
2017-10-30,1272,6136.4902
2017-10-31,1270.15,6388.645
2017-11-01,1277.05,6665.3066
2017-11-02,1279.2,6751.98
2017-11-03,1267.2,7197.7202
2017-11-04,,7437.5435
2017-11-05,,7365.9902
2017-11-06,1270.9,6989.0718
2017-11-07,1275.6,7092.1274
2017-11-08,1284,7128.6401
2017-11-09,1284.8,7158.0371
2017-11-10,1284.3,6719.3979
2017-11-11,,6569.2202
2017-11-12,,5716.3018
2017-11-13,1277.95,6550.2275
2017-11-14,1274.6,6493.6299
2017-11-15,1282.2,7301.4297
2017-11-16,1280,7815.0308
2017-11-17,1284.35,7868.77
2017-11-18,,7817.1406
2017-11-19,,8007.6543
2017-11-20,1286.2,8049.7202
2017-11-21,1283.3,8059.7998
2017-11-22,1286.95,8268.0352
2017-11-23,1290.35,8236.7197
2017-11-24,1290.5,8250.9785
2017-11-25,,8707.4072
2017-11-26,,8768.7998
2017-11-27,1294.9,9718.2949
2017-11-28,1291.85,9952.5088
2017-11-29,1283.85,9919
2017-11-30,1280.2,10147.372
2017-12-01,1275.5,10883.912
2017-12-02,,10879.88
2017-12-03,,11332.622
2017-12-04,1273.45,11584.83
2017-12-05,1266.3,11591.22
2017-12-06,1263.7,13540.98
2017-12-07,1255,16501.971
2017-12-08,1250.65,16860.881
2017-12-09,,15142.834
2017-12-10,,14869.805
2017-12-11,1247.15,15068.95
2017-12-12,1240.9,17276.393
2017-12-13,1242.65,16808.367
2017-12-14,1251,16252.31
2017-12-15,1254.6,17771.9
2017-12-16,,19498.684
2017-12-17,,19279.9
2017-12-18,1260.6,18961.857
2017-12-19,1260.35,17737.111
2017-12-20,1264.55,17382.939
2017-12-21,1264.55,16047.51
2017-12-22,,15190.945
2017-12-23,,13776.61
2017-12-24,,13949.175
2017-12-25,,14119.028
2017-12-26,,13740.94
2017-12-27,1279.4,15589.321
2017-12-28,1291,14380.582
2017-12-29,,14214.01
2017-12-30,,13215.574
2017-12-31,,14165.575
2018-01-01,,13796
2018-01-02,1312.05,15005.856
2018-01-03,1314.9,15053.262
2018-01-04,1314.5,15039.24
2018-01-05,1317.15,17174.119
2018-01-06,,17319.197
2018-01-07,,17155.949
2018-01-08,1319.95,15265.906
2018-01-09,1311,14714.253
2018-01-10,1319.75,14437.42
2018-01-11,1323.05,13296.794
2018-01-12,1326.8,13912.882
2018-01-13,,13791.19
2018-01-14,,13852.92
2018-01-15,1339.25,14012.196
2018-01-16,1333.85,13554.14
2018-01-17,1335.65,11116.946
2018-01-18,1332.2,11345.423
2018-01-19,1334.95,11174.82
2018-01-20,,12950.793
2018-01-21,,11505.228
2018-01-22,1332.6,11513.42
2018-01-23,1333.4,11223.064
2018-01-24,1353.7,11282.259
2018-01-25,1354.95,11392.03
2018-01-26,1353.15,10969.815
2018-01-27,,11524.776
2018-01-28,,11431.37
2018-01-29,1343.85,11212.655
2018-01-30,1344.9,10184.062
2018-01-31,1345.05,10082.52
2018-02-01,1341.35,9083.2588
2018-02-02,1331.15,8901.9014
2018-02-03,,8852.7305
2018-02-04,,8400.6484
2018-02-05,1333.6,6838.8169
2018-02-06,1331.4,6925.46
2018-02-07,1324.65,8099.9585
2018-02-08,1315.45,8240.5371
2018-02-09,1314.1,8245.0801
2018-02-10,,8319.877
2018-02-11,,8343.4551
2018-02-12,1322.3,8068.02
2018-02-13,1325.35,8597.7676
2018-02-14,1336.25,9334.6338
2018-02-15,1352.45,9471.6396
2018-02-16,1352.1,10127.162
2018-02-17,,10841.991
2018-02-18,,11085.83
2018-02-19,1346.6,11110.965
2018-02-20,1339.85,11390.392
2018-02-21,1330.5,11245.98
2018-02-22,1328.35,9931.0713
2018-02-23,1327.95,10162.116
2018-02-24,,10171.3
2018-02-25,,9696.5938
2018-02-26,1333.5,10348.604
2018-02-27,1325.75,10319.46
2018-02-28,1317.85,10370.165
2018-03-01,1307.75,11009.382
2018-03-02,1322.3,10931.12
2018-03-03,,11326.948
2018-03-04,,11430.182
2018-03-05,1320.4,11516.83
2018-03-06,1331.4,10763.198
2018-03-07,1329.4,10118.058
2018-03-08,1321,9920.46
2018-03-09,1320.6,9089.2783
2018-03-10,,8746.002
2018-03-11,,8777.3701
2018-03-12,1319.15,9182.8438
2018-03-13,1322.75,9154.7002
2018-03-14,1323.55,9153.54
2018-03-15,1318.75,8358.1221
2018-03-16,1310.1,8530.4023
2018-03-17,,8297.8896
2018-03-18,,8171.415
2018-03-19,1312.4,8412.0332
2018-03-20,1311,8605.6396
2018-03-21,1321.35,8947.7529
2018-03-22,1329.15,8690.4082
2018-03-23,1346.6,8725.3701
2018-03-24,,8662.3779
2018-03-25,,8617.2969
2018-03-26,1352.4,8457.96
2018-03-27,1341.45,7876.1948
2018-03-28,1332.45,7960.3799
2018-03-29,1323.85,7950.6099
2018-03-30,,6882.5317
2018-03-31,,6935.48
2018-04-01,,6937.5601
2018-04-02,,7035.8481
2018-04-03,1333.45,7410.4351
2018-04-04,1337.3,7426.48
2018-04-05,1327.7,6826.5098
2018-04-06,1331.2,6603.8765
2018-04-07,,6634.6802
2018-04-08,,7017.6567
2018-04-09,1331.95,6699.2734
2018-04-10,1338.95,6784.4102
2018-04-11,1350.75,6926.2666
2018-04-12,1341.35,7847.8452
2018-04-13,1343.7,7941.46
2018-04-14,,8036.5112
2018-04-15,,8340.748
2018-04-16,1349.35,8368.0996
2018-04-17,1342.1,7895.417
2018-04-18,1351.45,8164.9375
2018-04-19,1348.6,8175.96
2018-04-20,1336.75,8852.7188
2018-04-21,,8807.2051
2018-04-22,,8930.5996
2018-04-23,1324.3,8933.8613
2018-04-24,1328.85,9555.542
2018-04-25,1321.65,9658.1104
2018-04-26,1320.7,9258.3984
2018-04-27,1321.5,9010.3203
2018-04-28,,8928.5498
2018-04-29,,9334.2813
2018-04-30,1313.2,9259.5703
2018-05-01,1307.1,9239.5498
2018-05-02,1304.2,9221.4258
2018-05-03,1315.05,9639.2686
2018-05-04,1309.4,9753.3496
2018-05-05,,9803.3066
2018-05-06,,9630.1367
2018-05-07,,9631.4404
2018-05-08,1306.6,9228.6084
2018-05-09,1313.85,9322.042
2018-05-10,1318.8,9310.3701
2018-05-11,1324.35,8468.7881
2018-05-12,,8484.3467
2018-05-13,,8463.5195
2018-05-14,1319.85,8652.0381
2018-05-15,1295,8511.458
2018-05-16,1291.25,8471.0596
2018-05-17,1289.5,8106.1182
2018-05-18,1288.3,8240.0547
2018-05-19,,8239.0801
2018-05-20,,8507.4063
2018-05-21,1288.35,8385.5566
2018-05-22,1293.05,8396.6299
2018-05-23,1289,7555.7402
2018-05-24,1304.85,7566.1934
2018-05-25,1303.5,7576.7798
2018-05-26,,7342.9082
2018-05-27,,7361.8315
2018-05-28,,7344.5601
2018-05-29,1295.5,7459.8765
2018-05-30,1300.7,7385.395
2018-05-31,1305.35,7386.7202
2018-06-01,1294.6,7535.1465
2018-06-02,,7645.1465
2018-06-03,,7637.1401
2018-06-04,1295.45,7500.2734
2018-06-05,1292.05,7615.7222
2018-06-06,1300.1,7619.4302
2018-06-07,1297.25,7676.2715
2018-06-08,1298.25,7620.1533
2018-06-09,,7615.54
2018-06-10,,6776.8882
2018-06-11,1299.6,6875.6782
2018-06-12,1298.65,6879.3101
2018-06-13,1296.15,6315.7002
2018-06-14,1302.75,6647.0132
2018-06-15,1285.25,6637.4102
2018-06-16,,6509.4268
2018-06-17,,6464.4116
2018-06-18,1281.55,6445.79
2018-06-19,1276.15,6737
2018-06-20,1274.2,6714.7183
2018-06-21,1266.15,6760.8301
2018-06-22,1269.15,6332.5732
2018-06-23,,6141.606
2018-06-24,,6170.46
2018-06-25,1268.7,6211.4473
2018-06-26,1260.3,6218.5952
2018-06-27,1254.6,6097.46
2018-06-28,1251.55,6107.896
2018-06-29,1250.45,5908.7026
2018-06-30,,6223.2798
2018-07-01,,6374.7544
2018-07-02,1247.8,6466.0693
2018-07-03,1251.75,6626.4399
2018-07-04,1255.65,6593.2891
2018-07-05,1255.5,6603.3765
2018-07-06,1255.35,6555.5098
2018-07-07,,6594.2817
2018-07-08,,6753.5591
2018-07-09,1262.05,6724.04
2018-07-10,1254,6510.7915
2018-07-11,1251.4,6377.3633
2018-07-12,1245.9,6403.1802
2018-07-13,1241.7,6244.3574
2018-07-14,,6241
2018-07-15,,6248.8398
2018-07-16,1241.1,6514.3906
2018-07-17,1232.8,6869.9106
2018-07-18,1224.5,7321.6201
2018-07-19,1217.55,7396.4019
2018-07-20,1228.75,7428.0449
2018-07-21,,7334.9902
2018-07-22,,7451.2891
2018-07-23,1224.95,7689.8843
2018-07-24,1228.35,7715.1001
2018-07-25,1231.5,8251.165
2018-07-26,1228.25,8187.3242
2018-07-27,1223.95,7939.8101
2018-07-28,,8182.2515
2018-07-29,,8206.3418
2018-07-30,1223.8,8220.9102
2018-07-31,1220.95,7916.8008
2018-08-01,1219,7570.8691
2018-08-02,1215.45,7607.7002
2018-08-03,1216.3,7394.499
2018-08-04,,7247.769
2018-08-05,,7011.2798
2018-08-06,1209.65,6988.0791
2018-08-07,1212.35,6993.5132
2018-08-08,1209.55,6718.23
2018-08-09,1214.35,6396.7725
2018-08-10,1214.4,6396.4946
2018-08-11,,6138.96
2018-08-12,,6311.1318
2018-08-13,1200.35,6347.0698
2018-08-14,1197,6252.1299
2018-08-15,1182,6362.6768
2018-08-16,1180.4,6342.6294
2018-08-17,1178.4,6312.75
2018-08-18,,6436.7207
2018-08-19,,6404.0635
2018-08-20,1184.35,6486.5801
2018-08-21,1190.95,6401.2461
2018-08-22,1196.65,6575.229
2018-08-23,1192.35,6354.5698
2018-08-24,1197.7,6543.6455
2018-08-25,,6719.4292
2018-08-26,,6738.27
2018-08-27,,6719.2661
2018-08-28,1212.25,7000.04
2018-08-29,1204.2,7078.1899
2018-08-30,1197.3,6932.6626
2018-08-31,1202.45,6981.9463
2018-09-01,,7018.7798
2018-09-02,,7247.9355
2018-09-03,1200.05,7260.9492
2018-09-04,1190.85,7265.0801
2018-09-05,1196.7,7113.0693
2018-09-06,1205.15,6433.2715
2018-09-07,1198.9,6501.1899
2018-09-08,,6366.1074
2018-09-09,,6286.4258
2018-09-10,1196.6,6240.98
2018-09-11,1189.85,6296.3208
2018-09-12,1195.6,6273.1377
2018-09-13,1209.8,6326.04
2018-09-14,1201.95,6499.0625
2018-09-15,,6518.6548
2018-09-16,,6522.3901
2018-09-17,1201.9,6400.6011
2018-09-18,1200.2,6296.6318
2018-09-19,1203.3,6342.3901
2018-09-20,1208.35,6418.5625
2018-09-21,1198.7,6669.9907
2018-09-22,,6756.1201
2018-09-23,,6710.4448
2018-09-24,1202.75,6639.3042
2018-09-25,1201.9,6583.4502
2018-09-26,1194.25,6468.6318
2018-09-27,1185.4,6535.4766
2018-09-28,1187.25,6686.0801
2018-09-29,,6550.4741
2018-09-30,,6593.1348
2018-10-01,1189.35,6611.02
2018-10-02,1204.7,6562.6416
2018-10-03,1201.2,6470.4023
2018-10-04,1203.45,6483.73
2018-10-05,1203.8,6568.5493
2018-10-06,,6581.4868
2018-10-07,,6573.6201
2018-10-08,1186.95,6618.5679
2018-10-09,1185.55,6621.7114
2018-10-10,1188.6,6626.8501
2018-10-11,1205.55,6248.6357
2018-10-12,1219.75,6260.5308
2018-10-13,,6247
2018-10-14,,6299.3989
2018-10-15,1229.95,6452.5718
2018-10-16,1230.7,6599.1699
2018-10-17,1229.05,6596.2764
2018-10-18,1223,6568.0405
2018-10-19,1227.85,6509.6099
2018-10-20,,6488.8257
2018-10-21,,6531.6016
2018-10-22,1222.3,6504.7798
2018-10-23,1235.95,6481.4258
2018-10-24,1230.55,6508.3101
2018-10-25,1230.8,6489.77
2018-10-26,1233.85,6473.7534
2018-10-27,,6465.9175
2018-10-28,,6457.21
2018-10-29,1230.8,6382.6685
2018-10-30,1225.4,6309.4526
2018-10-31,1214.95,6301.6099
2018-11-01,1231.15,6342.2808
2018-11-02,1232.1,6387.6743
2018-11-03,,6390.4199
2018-11-04,,6391.8735
2018-11-05,1232.25,6436.9648
2018-11-06,1231.6,6437.7598
2018-11-07,1229.95,6538.79
2018-11-08,1224.15,6486.2515
2018-11-09,1211.4,6444.9702
2018-11-10,,6399.0332
2018-11-11,,6378.2686
2018-11-12,1205.55,6408.5298
2018-11-13,1202.1,6372.0635
2018-11-14,1203.25,6176.1548
2018-11-15,1211.85,5756.77
2018-11-16,1222.4,5596.1924
2018-11-17,,5558.2432
2018-11-18,,5572.4399
2018-11-19,1221.6,5303.9424
2018-11-20,1223,4671.9702
2018-11-21,1226.1,4491.98
2018-11-22,1227.05,4548.7974
2018-11-23,1223.65,4309.3374
2018-11-24,,4352.98
2018-11-25,,3823.5117
2018-11-26,1223.4,3920.5366
2018-11-27,1221.2,3793.3501
2018-11-28,1213.25,4103.4536
2018-11-29,1226.25,4263.7832
2018-11-30,1217.55,4278.77
2018-12-01,,4116.7773
2018-12-02,,4167.5469
2018-12-03,1230.3,4140.6001
2018-12-04,1240.3,3961.4934
2018-12-05,1235.9,3858.3491
2018-12-06,1242.55,3744.98
2018-12-07,1243.3,3405.6433
2018-12-08,,3435.3401
2018-12-09,,3453.6599
2018-12-10,1245.35,3523.96
2018-12-11,1245.3,3426.1899
2018-12-12,1245.75,3407.28
2018-12-13,1242.75,3406.7625
2018-12-14,1235.35,3278.3743
2018-12-15,,3242.4199
2018-12-16,,3271.2383
2018-12-17,1241.65,3392.405
2018-12-18,1246.3,3556.54
2018-12-19,1255,3808.0425
2018-12-20,1259.75,3982.8508
2018-12-21,1258.15,4135.1899
2018-12-22,,3910.9734
2018-12-23,,4027.4783
2018-12-24,,3995.1699
2018-12-25,,3813.8799
2018-12-26,,3825.3792
2018-12-27,1268,3848.21
2018-12-28,1279,3743.905
2018-12-29,,3912.2859
2018-12-30,,3770.3601
2018-12-31,,3791.5459
2019-01-01,,3752.2717
2019-01-02,1282.9,3855.8799
2019-01-03,1290.45,3865.7976
2019-01-04,1279.9,3822.6267
2019-01-05,,3856.6201
2019-01-06,,3920.4568
2019-01-07,1292.2,4036.0933
2019-01-08,1286.45,4032.25
2019-01-09,1288.6,4034.1384
2019-01-10,1291.9,3812.5859
2019-01-11,1288.95,3646.25
2019-01-12,,3646.3459
2019-01-13,,3599.8416
2019-01-14,1292.75,3531.96
2019-01-15,1294.4,3656.7849
2019-01-16,1292.3,3621.2708
2019-01-17,1290.7,3621.4299
2019-01-18,1284.2,3632.395
2019-01-19,,3690.5234
2019-01-20,,3703.98
2019-01-21,1279.55,3548.4275
2019-01-22,1282.1,3540.02
2019-01-23,1279.8,3587.3501
2019-01-24,1283.7,3566.3999
